Name,2009,2014
25 - BANGALORE CENTRAL,44.55,55
26 - BANGALORE SOUTH,44.74,55
23 • BANGALORE RURAL,57.92,68
9 - BELLARY (ST),61.44,71
11 -DHARWAD,56.55,66
8 - KOPPAL,55.35,64
2 - BELGAUM,54.75,63
6 • RAICHUR (ST),45.9,54
4 - BIJAPUR (SC),47.29,55
21 • MYSORE,58.88,66
19-TUMKUR,64.79,71
TOTAL,58.7991406463,65
12-UTTARAKANNADA,59.09,65
24 - BANGALORE NORTH,46.72,52
7 - BIDAR,52.99,58
27 - CHIKBALLAPUR,68.09,73
10- HAVERI,63.59,68
15 • UDUPI CHIKMAGALUR,68.18,72
14-SHIMOGA,66.47,70
1 - CHIKKODI,67.56,71
22 - CHAMARAJANAGAR (SC),67.91,71
16 -HASSAN,69.17,72
5 - GULBARGA (SC),49.19,51
13-DAVANAGERE,67.46,69
17 - DAKSHINA KANNADA,74.45,75
20 - MANDYA,68.79,69
3 • BAGALKOT,63.07,63.2
28 - KOLAR (SC),69.15,69
18-CHITRADURGA(SC),54.49,53
